Date,GOOG
2022-05-13,115.56671142578125
2022-05-16,113.85774230957031
2022-05-17,115.75119018554688
2022-05-18,111.48571014404297
2022-05-19,109.84369659423828
2022-05-20,108.42286682128906
2022-05-23,110.75718688964844
2022-05-24,105.06344604492188
2022-05-25,104.9776382446289
2022-05-26,107.41413879394531
2022-05-27,111.88046264648438
2022-05-31,113.1103744506836
2022-06-01,113.20756530761719
2022-06-02,116.78719329833984
2022-06-03,113.63109588623047
2022-06-06,116.05767059326172
2022-06-07,116.27488708496094
2022-06-08,116.2833251953125
2022-06-09,113.98221588134766
2022-06-10,110.5201416015625
2022-06-13,106.0062026977539
2022-06-14,106.32109832763672
2022-06-15,109.4915771484375
2022-06-16,105.76766204833984
2022-06-17,106.98714447021484
2022-06-21,111.10284423828125
2022-06-22,111.12168884277344
2022-06-23,111.76690673828125
2022-06-24,117.57272338867188
2022-06-27,115.67283630371094
2022-06-28,111.65482330322266
2022-06-29,111.34237670898438
2022-06-30,108.48188018798828
2022-07-01,108.19274139404297
2022-07-05,112.95960998535156
2022-07-06,114.27530670166016
2022-07-07,118.33448028564453
2022-07-08,119.18995666503906
2022-07-11,115.57365417480469
2022-07-12,113.91426086425781
2022-07-13,111.2734603881836
2022-07-14,110.53254699707031
2022-07-15,111.84872436523438
2022-07-18,109.01499938964844
2022-07-19,113.68663787841797
2022-07-20,113.76598358154297
2022-07-21,114.10323333740234
2022-07-22,107.47762298583984
2022-07-25,107.32882690429688
2022-07-26,104.58140563964844
2022-07-27,112.6749496459961
2022-07-28,113.65689086914062
2022-07-29,115.69019317626953
2022-08-01,114.53963470458984
2022-08-02,114.95622253417969
2022-08-03,117.81275939941406
2022-08-04,117.90203094482422
2022-08-05,117.25732421875
2022-08-08,117.177978515625
2022-08-09,116.54318237304688
2022-08-10,119.66754150390625
2022-08-11,118.84429931640625
2022-08-12,121.65125274658203
2022-08-15,121.87936401367188
2022-08-16,121.51238250732422
2022-08-17,119.34022521972656
2022-08-18,119.8758316040039
2022-08-19,117.15814208984375
2022-08-22,114.13298034667969
2022-08-23,113.8354263305664
2022-08-24,113.76598358154297
2022-08-25,116.74154663085938
2022-08-26,110.3936767578125
2022-08-29,109.44149017333984
2022-08-30,109.01499938964844
2022-08-31,108.26119232177734
2022-09-01,109.6497802734375
2022-09-02,107.79501342773438
2022-09-06,106.60478210449219
2022-09-07,109.58035278320312
2022-09-08,108.52898406982422
2022-09-09,110.86976623535156
2022-09-12,110.95904541015625
2022-09-13,104.45244598388672
2022-09-14,105.00788879394531
2022-09-15,103.05394744873047
2022-09-16,102.78612518310547
2022-09-19,103.00434112548828
2022-09-20,101.00079345703125
2022-09-21,99.19561004638672
2022-09-22,99.75104522705078
2022-09-23,98.3624496459961
2022-09-26,98.00538635253906
2022-09-27,97.29124450683594
2022-09-28,99.91966247558594
2022-09-29,97.29124450683594
2022-09-30,95.3670425415039
2022-10-03,98.49139404296875
2022-10-04,101.5760726928711
2022-10-05,101.38762664794922
2022-10-06,101.40744018554688
2022-10-07,98.75918579101562
2022-10-10,97.90618133544922
2022-10-11,97.25157165527344
2022-10-12,97.4995346069336
2022-10-13,98.89804077148438
2022-10-14,96.3886489868164
2022-10-17,99.95933532714844
2022-10-18,100.56436157226562
2022-10-19,99.47333526611328
2022-10-20,99.71138000488281
2022-10-21,100.65364074707031
2022-10-24,102.13150787353516
2022-10-25,104.07555389404297
2022-10-26,94.04785919189453
2022-10-27,91.84595489501953
2022-10-28,95.79354095458984
2022-10-31,93.88917541503906
2022-11-01,89.76304626464844
2022-11-02,86.36097717285156
2022-11-03,82.81013488769531
2022-11-04,85.9939956665039
2022-11-07,87.9281234741211
2022-11-08,88.18600463867188
2022-11-09,86.68829345703125
2022-11-10,93.40316009521484
2022-11-11,95.94233703613281
2022-11-14,95.2480239868164
2022-11-15,97.9161148071289
2022-11-16,98.18391418457031
2022-11-17,97.69791412353516
2022-11-18,97.00361633300781
2022-11-21,95.04964447021484
2022-11-22,96.53742980957031
2022-11-23,98.01530456542969
2022-11-25,96.80522918701172
2022-11-28,95.46622467041016
2022-11-29,94.6628189086914
2022-11-30,100.62387084960938
2022-12-01,100.45528411865234
2022-12-02,100.00894927978516
2022-12-05,99.0567626953125
2022-12-06,96.51758575439453
2022-12-07,94.37519073486328
2022-12-08,93.18496704101562
2022-12-09,92.31212615966797
2022-12-12,92.79812622070312
2022-12-13,95.0694808959961
2022-12-14,94.53387451171875
2022-12-15,90.45735168457031
2022-12-16,90.12012481689453
2022-12-19,88.42404174804688
2022-12-20,88.90011596679688
2022-12-21,89.51508331298828
2022-12-22,87.54129791259766
2022-12-23,89.07865142822266
2022-12-27,87.21398162841797
2022-12-28,85.75595092773438
2022-12-29,88.22566986083984
2022-12-30,88.00746154785156
2023-01-03,88.96956634521484
2023-01-04,87.98762512207031
2023-01-05,86.06343078613281
2023-01-06,87.44210815429688
2023-01-09,88.07689666748047
2023-01-10,88.51331329345703
2023-01-11,91.50872802734375
2023-01-12,91.16157531738281
2023-01-13,92.04431915283203
2023-01-17,91.4095230102539
2023-01-18,91.03263092041016
2023-01-19,93.14527893066406
2023-01-20,98.47156524658203
2023-01-23,100.38583374023438
2023-01-24,98.40211486816406
2023-01-25,95.94233703613281
2023-01-26,98.35253143310547
2023-01-27,99.88990020751953
2023-01-30,97.15237426757812
